#Module 	 Chip 	 Chn 	 Mem 	 Pedestal 	 MeanError
1	130	0	3	207.389	0.224422
1	130	0	4	201.111	0.229133
1	130	0	5	201.574	0.250022
1	130	0	6	214.328	0.299575
1	130	0	7	200.653	0.326876
1	130	0	8	201.943	0.396163
1	130	0	9	208.328	0.506355
1	130	0	10	191.953	0.594564
1	130	0	11	226.756	0.918732
1	130	0	12	237.367	1.29404
1	130	0	13	278.098	2.09958
1	130	0	14	198.794	2.12204
1	130	1	1	211.52	0.220472
1	130	1	2	212.865	0.223868
1	130	1	3	208.286	0.224754
1	130	1	4	209.309	0.237811
1	130	1	5	195.195	0.24133
1	130	1	6	212.12	0.295384
1	130	1	7	204.483	0.331876
1	130	1	8	208.707	0.407952
1	130	1	9	205.035	0.496475
1	130	1	10	197.99	0.611152
1	130	1	11	227.914	0.919719
1	130	1	12	255.26	1.38426
1	130	1	13	265.783	1.99051
1	130	1	14	204.776	2.17502
1	130	2	1	219.229	0.230193
1	130	2	2	224.86	0.238291
1	130	2	3	225.982	0.245735
1	130	2	4	215.537	0.246583
1	130	2	5	218.511	0.272078
1	130	2	6	225.563	0.316357
1	130	2	7	219.647	0.358982
1	130	2	8	216.396	0.42556
1	130	2	9	223.151	0.54363
1	130	2	10	218.42	0.677724
1	130	2	11	241.405	0.980155
1	130	2	12	250.934	1.36735
1	130	2	13	311.367	2.35036
1	130	2	14	219.868	2.3422
1	130	3	1	211.547	0.219533
1	130	3	2	214.267	0.224326
1	130	3	3	218.178	0.234341
1	130	3	4	218.919	0.247587
1	130	3	5	212.041	0.26093
1	130	3	6	216.803	0.300533
1	130	3	7	217.306	0.351156
1	130	3	8	212.74	0.413792
1	130	3	9	207.497	0.499892
1	130	3	10	205.775	0.631601
1	130	3	11	220.313	0.884059
1	130	3	12	254.724	1.37476
1	130	3	13	269.529	2.01259
1	130	3	14	218.008	2.30262
1	130	4	1	207.613	0.216146
1	130	4	2	211.435	0.222124
1	130	4	3	208.344	0.224544
1	130	4	4	203.327	0.230792
1	130	4	5	210.782	0.260337
1	130	4	6	214.34	0.2982
1	130	4	7	199.284	0.323121
1	130	4	8	212.633	0.415079
1	130	4	9	210.089	0.507868
1	130	4	10	202.497	0.62377
1	130	4	11	223.176	0.898582
1	130	4	12	238.179	1.28983
1	130	4	13	245.025	1.83469
1	130	4	14	203.031	2.14838
1	130	5	1	217.648	0.226962
1	130	5	2	221.431	0.233051
1	130	5	3	219.661	0.237145
1	130	5	4	214.271	0.243521
1	130	5	5	207.1	0.256165
1	130	5	6	223.143	0.310862
1	130	5	7	211.662	0.343588
1	130	5	8	218.724	0.427222
1	130	5	9	214.175	0.518225
1	130	5	10	204.786	0.631333
1	130	5	11	229.94	0.926341
1	130	5	12	248.927	1.34845
1	130	5	13	263.689	1.97671
1	130	5	14	213.286	2.25804
1	130	6	1	218.252	0.225628
1	130	6	2	226.746	0.236635
1	130	6	3	223.453	0.23919
1	130	6	4	227.007	0.256017
1	130	6	5	223.693	0.274491
1	130	6	6	227.133	0.313905
1	130	6	7	220.569	0.355231
1	130	6	8	229.111	0.444314
1	130	6	9	219.29	0.526589
1	130	6	10	221.665	0.678129
1	130	6	11	252.571	1.01137
1	130	6	12	271.085	1.45812
1	130	6	13	312.167	2.32521
1	130	6	14	214.52	2.25811
1	130	7	1	224.3	0.233746
1	130	7	2	227.062	0.2388
1	130	7	3	220.266	0.23759
1	130	7	4	221.866	0.251932
1	130	7	5	219.861	0.271676
1	130	7	6	222.002	0.308879
1	130	7	7	208.874	0.338601
1	130	7	8	223.437	0.436104
1	130	7	9	223.011	0.538797
1	130	7	10	218.771	0.673342
1	130	7	11	239.828	0.964613
1	130	7	12	264.297	1.42968
1	130	7	13	259.804	1.94235
1	130	7	14	219.489	2.32137
1	130	8	1	210.966	0.219823
1	130	8	2	212.206	0.22315
1	130	8	3	212.393	0.229177
1	130	8	4	209.085	0.237501
1	130	8	5	204.065	0.252308
1	130	8	6	213.745	0.297785
1	130	8	7	201.996	0.328043
1	130	8	8	208.39	0.407656
1	130	8	9	213.072	0.516771
1	130	8	10	205.169	0.633761
1	130	8	11	230.137	0.930585
1	130	8	12	261.894	1.4255
1	130	8	13	251.414	1.8944
1	130	8	14	208.866	2.21921
1	130	9	1	215.908	0.223994
1	130	9	2	223.524	0.234045
1	130	9	3	222.772	0.239343
1	130	9	4	222.672	0.251959
1	130	9	5	220.406	0.271433
1	130	9	6	223.677	0.310364
1	130	9	7	220.167	0.356293
1	130	9	8	229.193	0.447101
1	130	9	9	226.275	0.547041
1	130	9	10	219.916	0.677468
1	130	9	11	242.636	0.978427
1	130	9	12	264.351	1.43428
1	130	9	13	258.524	1.9405
1	130	9	14	216.324	2.29885
1	130	10	1	207.634	0.215172
1	130	10	2	213.129	0.222938
1	130	10	3	204.708	0.219696
1	130	10	4	200.917	0.22707
1	130	10	5	209.815	0.258103
1	130	10	6	213.66	0.296171
1	130	10	7	199.523	0.322563
1	130	10	8	209.24	0.407448
1	130	10	9	205.878	0.4969
1	130	10	10	209.287	0.643978
1	130	10	11	244.43	0.984335
1	130	10	12	276.069	1.49428
1	130	10	13	270.534	2.0274
1	130	10	14	206.713	2.1925
1	130	11	1	205.645	0.214111
1	130	11	2	211.877	0.222686
1	130	11	3	210.752	0.22724
1	130	11	4	198.082	0.224863
1	130	11	5	204.807	0.253045
1	130	11	6	214.193	0.298335
1	130	11	7	205.592	0.333813
1	130	11	8	214.503	0.419543
1	130	11	9	204.88	0.49655
1	130	11	10	206.686	0.638897
1	130	11	11	220.119	0.890149
1	130	11	12	237.274	1.29064
1	130	11	13	247.988	1.8661
1	130	11	14	200.962	2.14117
1	130	12	1	207.236	0.21575
1	130	12	2	215.228	0.226116
1	130	12	3	206.722	0.222824
1	130	12	4	209.994	0.238358
1	130	12	5	210.764	0.260403
1	130	12	6	217.805	0.303141
1	130	12	7	210.993	0.342318
1	130	12	8	206.833	0.403962
1	130	12	9	197.264	0.477205
1	130	12	10	203.253	0.626718
1	130	12	11	222.654	0.898273
1	130	12	12	230.631	1.25081
1	130	12	13	231.303	1.73613
1	130	12	14	214.042	2.27602
1	130	13	1	219.906	0.228851
1	130	13	2	218.235	0.229201
1	130	13	3	217.201	0.234002
1	130	13	4	214.812	0.243703
1	130	13	5	214.214	0.26454
1	130	13	6	225.323	0.313695
1	130	13	7	209.762	0.340328
1	130	13	8	218.506	0.427001
1	130	13	9	216.876	0.524978
1	130	13	10	210.771	0.650265
1	130	13	11	233.049	0.940838
